Season	Player	All_Star	All_NBA	MVP
2017-18	Ben Simmons\simmobe01	1	0	0
2016-17	Malcolm Brogdon\brogdma01	0	0	0
2015-16	Karl-Anthony Towns\townska01	2	1	0
2014-15	Andrew Wiggins\wiggian01	0	0	0
2013-14	Michael Carter-Williams\cartemi01	0	0	0
2012-13	Damian Lillard\lillada01	4	4	0
2011-12	Kyrie Irving\irvinky01	6	2	0
2010-11	Blake Griffin\griffbl01	6	5	0
2009-10	Tyreke Evans\evansty01	0	0	0
2008-09	Derrick Rose\rosede01	3	1	1
2007-08	Kevin Durant\duranke01	10	9	1
2006-07	Brandon Roy\roybr01	3	2	0
2005-06	Chris Paul\paulch01	9	8	0
2004-05	Emeka Okafor\okafoem01	0	0	0
2003-04	LeBron James\jamesle01	15	15	4
2002-03	Amare Stoudemire\stoudam01	6	5	0
2001-02	Pau Gasol\gasolpa01	6	4	0
2000-01	Mike Miller\millemi01	0	0	0
1999-00	Elton Brand\brandel01	2	1	0
1998-99	Vince Carter\cartevi01	8	2	0
1997-98	Tim Duncan\duncati01	15	15	2
1996-97	Allen Iverson\iversal01	11	7	1
1995-96	Damon Stoudamire\stoudda01	0	0	0
1994-95	Jason Kidd\kiddja01	10	6	0
1993-94	Chris Webber\webbech01	5	5	0
1992-93	Shaquille O'Neal\onealsh01	15	14	1
1991-92	Larry Johnson\johnsla02	2	1	0
1990-91	Derrick Coleman\colemde01	1	2	0
1989-90	David Robinson\robinda01	10	10	1
1988-89	Mitch Richmond\richmmi01	6	5	0
1987-88	Mark Jackson\jacksma01	1	0	0
1986-87	Chuck Person\persoch01	0	0	0
1985-86	Patrick Ewing\ewingpa01	11	7	0
1984-85	Michael Jordan\jordami01	14	11	5
